model;year;price;transmission;mileage;fuelType;tax;mpg;engineSize;brand
 TT;2017;16484;Manual;23641;Petrol;145;47.1;1.8;audi
 A3;2017;11670;Manual;63829;Diesel;150;68.9;1.6;audi
 Q3;2017;25082;Semi-Auto;15336;Diesel;145;51.4;2.0;audi
 Q3;2020;27690;Manual;3962;Diesel;145;42.8;2.0;audi
 A3;2016;13500;Manual;68310;Diesel;20;65.7;2.0;audi
 A6;2016;14998;Semi-Auto;54813;Diesel;30;64.2;2.0;audi
 A4;2015;11995;Manual;50811;Diesel;20;67.3;2.0;audi
 Q3;2018;23990;Semi-Auto;19100;Petrol;145;48.7;1.4;audi
 A5;2017;26990;Semi-Auto;36209;Petrol;240;38.2;3.0;audi
 A4;2017;19000;Automatic;21218;Diesel;30;65.7;2.0;audi
 A1;2019;22000;Semi-Auto;5000;Petrol;145;40.9;2.0;audi
 Q5;2019;52990;Automatic;5000;Diesel;145;34.5;3.0;audi
 Q5;2017;18299;Manual;23221;Diesel;160;49.6;2.0;audi
 Q7;2017;49490;Semi-Auto;30262;Diesel;145;39.2;4.0;audi
 Q2;2020;25950;Manual;2330;Petrol;145;43.5;1.5;audi
 Q5;2019;33185;Semi-Auto;7152;Diesel;145;38.2;2.0;audi
 A3;2019;32900;Semi-Auto;2470;Petrol;150;34.9;2.0;audi
 A3;2017;15795;Manual;21637;Diesel;20;67.3;2.0;audi
 A5;2017;19990;Semi-Auto;51243;Diesel;30;62.8;2.0;audi
 A4;2015;10000;Automatic;113420;Diesel;205;47.1;2.0;audi
 A1;2016;10600;Manual;21428;Petrol;0;67.3;1.0;audi
 A3;2017;22991;Semi-Auto;17365;Petrol;165;43.5;2.0;audi
 A3;2017;18442;Semi-Auto;28849;Petrol;30;57.6;1.4;audi
 Q2;2017;16000;Manual;57332;Diesel;30;61.4;1.6;audi
 A1;2019;20500;Automatic;11295;Petrol;150;47.1;1.0;audi
 A4;2015;11295;Manual;68260;Diesel;30;62.8;2.0;audi
 A4;2019;29290;Automatic;10119;Diesel;145;38.2;3.0;audi
 A4;2017;20450;Semi-Auto;15900;Petrol;150;50.4;2.0;audi
 A4;2016;16498;Semi-Auto;41529;Diesel;30;65.7;2.0;audi
 A1;2015;15995;Manual;19523;Petrol;205;40.4;2.0;audi
 A6;2017;20500;Semi-Auto;49626;Diesel;150;61.4;2.0;audi
 A6;2020;30000;Automatic;893;Diesel;145;47.9;2.0;audi
 A5;2020;35000;Semi-Auto;4500;Diesel;145;45.6;2.0;audi
 Q2;2020;27591;Semi-Auto;4455;Diesel;150;44.8;2.0;audi
 A3;2016;10498;Manual;68294;Diesel;0;74.3;1.6;audi
 Q2;2019;27500;Automatic;7990;Petrol;145;33.2;2.0;audi
 A4;2019;27495;Automatic;6000;Diesel;145;48.7;2.0;audi
 A4;2017;17490;Manual;35000;Petrol;125;49.6;2.0;audi
 A6;2019;31900;Automatic;50;Diesel;145;47.9;2.0;audi
 Q2;2020;23481;Manual;1276;Petrol;145;44.8;1.5;audi
 A1;2017;11700;Manual;29754;Petrol;30;55.4;1.4;audi
 A7;2017;23450;Semi-Auto;37000;Diesel;145;62.8;3.0;audi
 A3;2016;16750;Automatic;41656;Diesel;30;61.4;2.0;audi
 Q5;2020;34890;Automatic;4521;Diesel;145;38.2;2.0;audi
 A1;2015;10850;Manual;43000;Petrol;30;56.5;1.4;audi
 Q5;2019;44495;Semi-Auto;8700;Hybrid;135;117.7;2.0;audi
 A6;2019;26990;Semi-Auto;18760;Diesel;150;50.4;2.0;audi
 A6;2019;29990;Automatic;7000;Diesel;150;47.9;2.0;audi
 A3;2010;6475;Manual;65000;Diesel;145;53.3;2.0;audi
 A4;2018;18688;Semi-Auto;43525;Petrol;145;50.4;2.0;audi
 A5;2019;31970;Automatic;4015;Diesel;145;48.7;2.0;audi
 Q7;2019;41750;Semi-Auto;10492;Diesel;145;33.6;3.0;audi
 A6;2016;15750;Manual;43438;Diesel;30;61.4;2.0;audi
 Q2;2017;17060;Manual;19530;Petrol;145;52.3;1.4;audi
 Q5;2019;32490;Automatic;10499;Diesel;145;38.2;2.0;audi
 A4;2015;13495;Manual;1800;Diesel;30;65.7;2.0;audi
 A1;2017;13400;Semi-Auto;31597;Petrol;30;57.6;1.4;audi
 Q2;2018;23245;Automatic;7442;Petrol;145;52.3;1.4;audi
 A1;2015;15995;Manual;23081;Petrol;235;39.8;2.0;audi
 Q2;2017;22750;Automatic;33297;Diesel;145;58.9;2.0;audi
 A7;2013;15440;Automatic;75016;Diesel;200;47.9;3.0;audi
 A3;2020;26500;Manual;1500;Diesel;145;55.4;2.0;audi
 A1;2016;10995;Manual;36120;Diesel;0;76.3;1.6;audi
 Q3;2016;12998;Manual;67643;Diesel;30;61.4;2.0;audi
 A3;2018;25990;Semi-Auto;29035;Petrol;150;43.5;2.0;audi
 Q2;2020;24444;Manual;4432;Petrol;145;43.5;1.5;audi
 Q3;2019;30491;Manual;4444;Petrol;145;40.9;1.5;audi
 A3;2016;13900;Manual;27984;Petrol;20;60.1;1.0;audi
 A4;2019;46450;Automatic;2000;Diesel;145;39.2;3.0;audi
 Q3;2017;24995;Semi-Auto;9078;Petrol;145;40.4;2.0;audi
 A3;2014;11600;Manual;43662;Diesel;20;67.3;2.0;audi
 A3;2015;15000;Automatic;56291;Petrol;200;42.8;1.8;audi
 Q2;2019;20594;Manual;9160;Diesel;145;49.6;1.6;audi
 A3;2016;12771;Semi-Auto;52226;Petrol;20;60.1;1.4;audi
 A3;2016;12995;Manual;25895;Diesel;20;70.6;2.0;audi
 A4;2013;8995;Manual;63000;Diesel;30;65.7;2.0;audi
 A1;2019;22000;Semi-Auto;4500;Petrol;145;40.9;2.0;audi
 Q7;2020;61950;Automatic;8500;Diesel;150;33.2;3.0;audi
 Q5;2015;16638;Automatic;53990;Diesel;200;47.9;2.0;audi
 A1;2018;15290;Manual;21633;Petrol;150;47.9;1.0;audi
 A3;2019;22990;Semi-Auto;5711;Petrol;145;41.5;1.5;audi
 A1;2017;10495;Manual;37131;Petrol;0;67.3;1.0;audi
 TT;2016;16490;Manual;40601;Diesel;30;61.4;2.0;audi
 A6;2016;14999;Manual;30167;Diesel;30;65.7;2.0;audi
 Q3;2017;23490;Manual;16224;Diesel;145;50.4;2.0;audi
 A4;2014;10495;Semi-Auto;54713;Diesel;125;58.9;2.0;audi
 A6;2014;12295;Manual;64880;Diesel;30;62.8;2.0;audi
 A1;2016;11999;Manual;48090;Petrol;30;55.4;1.4;audi
 Q2;2019;25444;Semi-Auto;4917;Petrol;145;40.9;1.5;audi
 A3;2019;20500;Manual;3856;Petrol;150;47.9;1.0;audi
 A3;2014;13700;Manual;49000;Petrol;20;60.1;1.4;audi
 A3;2013;11399;Manual;27267;Petrol;30;54.3;1.4;audi
 A6;2016;23782;Semi-Auto;73090;Diesel;235;43.5;3.0;audi
 Q2;2019;25490;Semi-Auto;4757;Diesel;145;47.9;2.0;audi
 A3;2013;8150;Manual;37141;Diesel;0;74.3;1.6;audi
 Q3;2019;27950;Automatic;13639;Petrol;145;38.2;1.5;audi
 A4;2017;18299;Automatic;33130;Diesel;145;67.3;2.0;audi
 A1;2016;12450;Manual;32000;Petrol;30;56.5;1.4;audi
 A3;2018;19000;Automatic;20175;Petrol;145;42.2;1.5;audi
 A6;2016;14498;Semi-Auto;49458;Diesel;30;61.4;2.0;audi
 Q5;2015;17595;Manual;47905;Diesel;200;47.9;2.0;audi
 A1;2016;12798;Manual;30334;Petrol;30;55.4;1.4;audi
 A4;2015;14900;Manual;20995;Diesel;30;64.2;2.0;audi
 Q3;2018;24498;Semi-Auto;11487;Petrol;145;42.2;2.0;audi
 A1;2019;21500;Semi-Auto;5041;Petrol;145;44.8;1.5;audi
 Q3;2013;10190;Manual;69884;Diesel;145;54.3;2.0;audi
 A6;2013;12495;Manual;49000;Diesel;325;29.7;2.0;audi
 Q3;2017;21990;Automatic;13619;Petrol;145;47.9;1.4;audi
 A7;2019;35845;Automatic;3000;Diesel;145;47.1;2.0;audi
 Q3;2019;29799;Manual;2550;Diesel;145;42.8;2.0;audi
 A3;2016;10200;Manual;66369;Diesel;0;83.1;1.6;audi
 Q2;2018;24500;Automatic;17540;Petrol;145;44.8;2.0;audi
 A5;2019;28500;Manual;1096;Petrol;145;37.2;2.0;audi
 A1;2016;10191;Manual;27878;Diesel;0;76.3;1.6;audi
 A1;2017;11495;Manual;29464;Petrol;150;67.3;1.0;audi
 Q5;2019;32991;Automatic;10;Diesel;145;39.2;2.0;audi
 Q2;2020;27500;Semi-Auto;4500;Petrol;145;42.2;1.5;audi
 A1;2017;12500;Manual;15735;Petrol;150;55.4;1.4;audi
 A5;2019;24260;Semi-Auto;9026;Petrol;145;40.4;2.0;audi
 A6;2019;27900;Semi-Auto;6314;Diesel;150;50.4;2.0;audi
 A6;2015;21698;Semi-Auto;41109;Diesel;200;45.6;3.0;audi
 A4;2016;15695;Semi-Auto;39073;Diesel;30;64.2;3.0;audi
 Q3;2019;27400;Automatic;8000;Diesel;150;47.1;2.0;audi
 TT;2017;22950;Automatic;18352;Petrol;150;42.8;2.0;audi
 A1;2019;20500;Semi-Auto;5676;Petrol;145;47.1;1.0;audi
 Q2;2018;22950;Semi-Auto;7441;Petrol;145;52.3;1.4;audi
 A4;2017;21990;Automatic;10488;Diesel;145;65.7;2.0;audi
 A4;2019;25900;Semi-Auto;2581;Petrol;145;39.2;2.0;audi
 Q5;2016;23142;Semi-Auto;27041;Diesel;200;47.1;2.0;audi
 Q3;2016;15699;Manual;52080;Diesel;145;52.3;2.0;audi
 RS4;2019;57990;Semi-Auto;5151;Petrol;145;29.1;2.9;audi
 A4;2019;27990;Automatic;1000;Diesel;145;49.6;2.0;audi
 Q2;2019;23756;Semi-Auto;2493;Diesel;145;47.9;2.0;audi
 Q7;2018;57490;Semi-Auto;11800;Diesel;145;39.2;4.0;audi
 Q3;2017;20300;Automatic;42908;Diesel;145;51.4;2.0;audi
 Q3;2020;30990;Semi-Auto;476;Petrol;150;40.4;1.5;audi
 Q3;2017;20998;Semi-Auto;9997;Petrol;145;47.9;1.4;audi
 A4;2016;14798;Manual;51559;Diesel;20;70.6;2.0;audi
 Q2;2019;26700;Semi-Auto;4256;Petrol;145;33.2;2.0;audi
 A5;2016;18495;Manual;25000;Diesel;125;57.6;2.0;audi
 Q3;2016;16495;Manual;38541;Petrol;145;49.6;1.4;audi
 Q3;2020;32490;Manual;750;Petrol;145;40.9;1.5;audi
 A4;2017;24895;Automatic;30085;Petrol;145;38.7;3.0;audi
 Q3;2019;35866;Automatic;6698;Petrol;145;30.7;2.0;audi
 A6;2014;14495;Semi-Auto;57842;Diesel;30;61.4;2.0;audi
 A1;2015;12000;Manual;28771;Petrol;30;55.4;1.4;audi
 A3;2017;19000;Semi-Auto;16426;Diesel;145;64.2;2.0;audi
 Q3;2017;19242;Semi-Auto;19416;Petrol;145;47.9;1.4;audi
 Q2;2017;24500;Automatic;10681;Petrol;150;44.8;2.0;audi
 A3;2019;21374;Automatic;14520;Petrol;145;41.5;1.5;audi
 A3;2019;22690;Semi-Auto;4520;Petrol;145;43.5;1.5;audi
 A1;2016;11200;Manual;29819;Petrol;0;67.3;1.0;audi
 A5;2019;26995;Semi-Auto;10000;Petrol;145;39.2;2.0;audi
 A4;2016;17490;Manual;29955;Petrol;150;48.7;2.0;audi
 Q3;2016;17491;Semi-Auto;45128;Diesel;160;50.4;2.0;audi
 A7;2018;39991;Automatic;3537;Diesel;145;38.2;3.0;audi
 Q5;2017;19690;Manual;29887;Diesel;205;47.9;2.0;audi
 Q3;2016;16890;Manual;44000;Diesel;30;60.1;2.0;audi
 Q2;2017;21650;Semi-Auto;8865;Petrol;145;54.3;1.4;audi
 A1;2016;12298;Manual;23718;Petrol;30;56.5;1.4;audi
 A3;2017;12000;Manual;36935;Diesel;145;70.6;1.6;audi
 Q7;2016;28490;Automatic;32000;Diesel;160;48.7;3.0;audi
 Q2;2019;22500;Semi-Auto;4781;Petrol;150;43.5;1.0;audi
 A4;2017;16000;Automatic;58028;Petrol;145;52.3;2.0;audi
 A3;2017;18998;Semi-Auto;19588;Petrol;30;56.5;1.4;audi
 A6;2019;29995;Semi-Auto;8598;Diesel;145;47.9;2.0;audi
 A1;2019;21995;Semi-Auto;3900;Petrol;145;40.9;2.0;audi
 Q3;2018;20990;Manual;21909;Diesel;150;57.7;2.0;audi
 A3;2016;16490;Semi-Auto;23194;Petrol;30;54.3;1.4;audi
 A3;2019;22650;Manual;1500;Diesel;145;52.3;1.6;audi
 Q3;2019;32888;Semi-Auto;6022;Petrol;145;32.1;2.0;audi
 A5;2016;14998;Semi-Auto;42852;Diesel;125;58.9;2.0;audi
 Q2;2019;23900;Manual;1500;Diesel;145;49.6;1.6;audi
 A4;2013;6500;Manual;126580;Diesel;30;62.8;2.0;audi
 A3;2014;11498;Manual;53010;Petrol;30;55.4;1.4;audi
 A3;2017;17650;Manual;35375;Diesel;145;68.9;1.6;audi
 Q5;2017;27245;Semi-Auto;35847;Diesel;145;55.4;2.0;audi
 Q3;2015;16990;Semi-Auto;43395;Diesel;160;50.4;2.0;audi
 Q2;2020;30900;Semi-Auto;828;Diesel;145;46.3;2.0;audi
 A4;2016;14500;Manual;25634;Petrol;145;51.4;1.4;audi
 A1;2016;8490;Manual;27000;Petrol;0;67.3;1.0;audi
 Q2;2019;23444;Semi-Auto;6780;Petrol;145;42.2;1.5;audi
 Q2;2019;29566;Automatic;5123;Petrol;145;33.2;2.0;audi
 Q7;2019;48500;Automatic;3255;Diesel;145;33.2;3.0;audi
 Q2;2017;16789;Manual;25213;Petrol;145;52.3;1.4;audi
 A6;2016;16200;Automatic;89334;Diesel;30;62.8;3.0;audi
 A6;2019;31156;Semi-Auto;4508;Diesel;145;47.9;2.0;audi
 Q3;2013;11998;Semi-Auto;52765;Diesel;200;47.9;2.0;audi
 Q3;2013;13895;Automatic;42000;Diesel;205;47.9;2.0;audi
 Q7;2014;24500;Semi-Auto;37252;Diesel;300;39.2;3.0;audi
 A5;2017;18400;Semi-Auto;34425;Diesel;145;70.6;2.0;audi
 A5;2015;18995;Semi-Auto;38540;Diesel;125;58.9;2.0;audi
 A3;2015;9705;Manual;78205;Diesel;20;68.9;1.6;audi
 A4;2019;43930;Automatic;2541;Diesel;145;39.2;3.0;audi
 A1;2017;13995;Manual;15981;Petrol;145;57.6;1.4;audi
 A4;2018;22900;Semi-Auto;16000;Petrol;150;42.8;2.0;audi
 A4;2016;15000;Manual;25127;Petrol;125;50.4;2.0;audi
 A6;2017;18990;Automatic;46520;Diesel;145;64.2;2.0;audi
 A1;2017;14180;Manual;23052;Diesel;150;76.3;1.6;audi
 A3;2015;12490;Semi-Auto;35455;Petrol;30;58.9;1.4;audi
 A6;2019;35000;Automatic;4000;Diesel;145;47.9;2.0;audi
 Q7;2012;18299;Automatic;57080;Diesel;300;38.2;3.0;audi
 A3;2017;36990;Semi-Auto;3059;Petrol;145;43.5;2.0;audi
 A4;2020;26430;Automatic;4526;Petrol;145;42.8;2.0;audi
 A4;2017;17850;Manual;28630;Diesel;20;68.9;2.0;audi
 A6;2019;31880;Automatic;7050;Diesel;145;47.1;2.0;audi
 A5;2017;29582;Semi-Auto;20320;Petrol;145;37.7;3.0;audi
 A4;2017;20900;Manual;15800;Petrol;145;48.7;1.4;audi
 Q3;2019;27000;Manual;5999;Petrol;145;40.9;1.5;audi
 Q3;2016;17498;Semi-Auto;30738;Petrol;145;47.9;1.4;audi
 A5;2016;15995;Manual;43000;Diesel;150;53.3;2.0;audi
 Q3;2019;29450;Manual;2298;Diesel;145;42.8;2.0;audi
 A3;2019;23800;Manual;5472;Diesel;145;55.4;2.0;audi
 Q5;2015;19995;Semi-Auto;41000;Diesel;200;47.1;2.0;audi
 A1;2019;23444;Semi-Auto;5432;Petrol;145;44.8;1.0;audi
 Q3;2017;19491;Manual;27428;Diesel;145;56.5;2.0;audi
 Q8;2019;55995;Semi-Auto;1943;Diesel;145;33.6;3.0;audi
 Q3;2016;19700;Semi-Auto;27969;Diesel;160;50.4;2.0;audi
 A6;2017;21195;Semi-Auto;32000;Diesel;145;61.4;2.0;audi
 A8;2019;39995;Semi-Auto;10090;Petrol;145;37.7;3.0;audi
 A3;2019;21900;Automatic;11687;Petrol;145;42.2;1.5;audi
 Q2;2017;21000;Automatic;23000;Petrol;125;52.3;1.4;audi
 A3;2017;19505;Semi-Auto;18778;Diesel;145;70.6;1.6;audi
 Q2;2018;22990;Manual;10500;Petrol;150;49.6;1.4;audi
 S4;2019;39850;Automatic;4129;Diesel;145;40.4;0.0;audi
 TT;2008;5795;Automatic;91000;Petrol;280;36.2;2.0;audi
 A1;2013;8399;Manual;23954;Petrol;125;53.3;1.4;audi
 Q3;2016;15990;Manual;25647;Diesel;30;62.8;2.0;audi
 Q5;2020;36995;Semi-Auto;50;Diesel;145;38.2;2.0;audi
 A5;2020;26970;Semi-Auto;7015;Petrol;145;39.8;2.0;audi
 Q3;2016;20495;Semi-Auto;27200;Diesel;160;50.4;2.0;audi
 A4;2016;15800;Manual;45907;Diesel;30;64.2;2.0;audi
 A4;2014;10995;Manual;51000;Diesel;30;61.4;2.0;audi
 Q5;2019;32500;Automatic;175;Diesel;150;38.2;2.0;audi
 A6;2016;16599;Manual;40826;Diesel;30;61.4;2.0;audi
 A3;2015;13995;Manual;42977;Diesel;20;67.3;2.0;audi
 A1;2017;12700;Semi-Auto;10420;Petrol;150;64.2;1.0;audi
 A3;2015;15500;Manual;4984;Petrol;30;58.9;1.4;audi
 RS3;2015;28985;Automatic;15016;Petrol;300;34.9;2.5;audi
 TT;2020;29000;Semi-Auto;1000;Petrol;145;40.9;2.0;audi
 Q3;2019;35990;Automatic;1250;Petrol;145;38.2;1.5;audi
 A1;2019;21495;Semi-Auto;3846;Petrol;145;44.8;1.5;audi
 A8;2018;42000;Automatic;9756;Petrol;145;37.7;3.0;audi
 A6;2019;38444;Semi-Auto;5432;Petrol;150;34.0;2.0;audi
 A8;2018;33998;Semi-Auto;10249;Diesel;145;50.4;3.0;audi
 Q5;2019;37900;Semi-Auto;5200;Diesel;145;39.2;2.0;audi
 A4;2015;13351;Manual;39652;Diesel;0;74.3;2.0;audi
 A4;2018;16200;Automatic;31617;Petrol;145;51.4;1.4;audi
 S8;2017;44991;Automatic;22579;Petrol;555;28.2;4.0;audi
 Q5;2015;20698;Semi-Auto;44422;Diesel;200;45.6;3.0;audi
 A3;2017;16400;Manual;19333;Petrol;20;60.1;1.4;audi
 TT;2019;29975;Automatic;6000;Petrol;145;38.7;2.0;audi
 A3;2016;15899;Manual;17104;Petrol;20;60.1;1.4;audi
 A3;2019;24490;Semi-Auto;5523;Petrol;150;42.2;1.5;audi
 Q2;2018;18490;Manual;18148;Petrol;150;52.3;1.4;audi
 Q3;2019;31500;Manual;4500;Diesel;145;40.9;2.0;audi
 A6;2017;19940;Automatic;33856;Diesel;145;56.5;2.0;audi
 Q3;2017;19995;Semi-Auto;25400;Petrol;150;47.9;1.4;audi
 Q2;2017;19990;Semi-Auto;18887;Petrol;125;52.3;1.4;audi
 A4;2017;16000;Manual;30233;Diesel;145;72.4;2.0;audi
 Q2;2017;16950;Manual;25000;Petrol;125;52.3;1.4;audi
 A1;2016;11533;Manual;16630;Petrol;30;55.4;1.4;audi
 A4;2017;17480;Automatic;51527;Diesel;145;65.7;2.0;audi
 A4;2017;22991;Semi-Auto;19068;Diesel;150;56.5;2.0;audi
 Q3;2018;23000;Semi-Auto;15412;Petrol;150;47.9;1.4;audi
 A5;2016;23995;Automatic;19151;Petrol;260;35.8;3.0;audi
 Q3;2017;14999;Manual;47133;Petrol;125;51.4;1.4;audi
 A3;2016;11871;Manual;52519;Diesel;20;72.4;1.6;audi
 Q3;2016;18290;Manual;19280;Diesel;150;52.3;2.0;audi
 A6;2016;18995;Semi-Auto;39990;Diesel;30;61.4;2.0;audi
 Q5;2018;24850;Semi-Auto;29734;Diesel;145;56.5;2.0;audi
 A5;2017;26430;Automatic;26785;Petrol;240;38.2;3.0;audi
 TT;2015;19950;Semi-Auto;27685;Petrol;165;43.5;2.0;audi
 A6;2016;16000;Automatic;52544;Diesel;30;61.4;2.0;audi
 SQ7;2017;59950;Semi-Auto;23000;Diesel;145;39.2;4.0;audi
 A1;2016;11447;Manual;25818;Diesel;0;76.3;1.6;audi
 A3;2016;12299;Manual;19323;Petrol;20;61.4;1.4;audi
 TT;2016;25995;Semi-Auto;27170;Petrol;200;40.9;2.0;audi
 A3;2015;14499;Manual;23121;Petrol;30;58.9;1.4;audi
 A5;2020;29491;Semi-Auto;34;Diesel;145;50.4;2.0;audi
 A6;2014;11995;Automatic;85000;Diesel;30;61.4;2.0;audi
 A1;2014;7956;Manual;47000;Diesel;0;74.3;1.6;audi
 Q7;2017;33991;Automatic;26522;Diesel;145;47.9;3.0;audi
 A6;2019;30886;Semi-Auto;2596;Diesel;145;47.9;2.0;audi
 Q7;2018;54990;Semi-Auto;20000;Diesel;145;39.2;4.0;audi
 TT;2015;16990;Semi-Auto;46500;Petrol;160;44.1;2.0;audi
 A4;2017;13490;Manual;91212;Diesel;30;64.2;2.0;audi
 A4;2016;10990;Manual;57395;Petrol;125;53.3;1.4;audi
 A6;2012;12495;Automatic;93000;Diesel;200;47.9;3.0;audi
 Q7;2019;45850;Automatic;8910;Diesel;145;32.8;3.0;audi
 A4;2016;15990;Automatic;41000;Diesel;20;67.3;2.0;audi
 A4;2015;14950;Manual;53065;Diesel;30;61.4;2.0;audi
 Q3;2017;15000;Manual;44898;Diesel;125;57.7;2.0;audi
 Q3;2017;21583;Semi-Auto;46066;Petrol;145;40.4;2.0;audi
 A5;2019;29400;Semi-Auto;10654;Petrol;150;39.8;2.0;audi
 Q2;2019;29950;Automatic;6042;Petrol;145;33.2;2.0;audi
 A4;2019;36610;Automatic;6995;Diesel;145;44.1;2.0;audi
 A4;2019;30500;Automatic;4250;Diesel;145;44.8;2.0;audi
 A1;2016;10550;Manual;40494;Petrol;0;67.3;1.0;audi
 A3;2019;22690;Semi-Auto;1348;Petrol;150;42.2;1.5;audi
 A3;2020;34990;Semi-Auto;6000;Petrol;145;34.5;2.0;audi
 Q5;2015;19990;Automatic;44523;Diesel;235;44.1;3.0;audi
 A1;2015;11490;Manual;22000;Petrol;30;55.4;1.4;audi
 A6;2016;22999;Automatic;57716;Diesel;235;43.5;3.0;audi
 Q3;2019;27888;Manual;2054;Diesel;145;42.8;2.0;audi
 RS5;2019;58995;Semi-Auto;3382;Petrol;145;30.1;2.9;audi
 A5;2017;21998;Semi-Auto;11757;Petrol;145;53.3;2.0;audi
 A3;2020;24450;Semi-Auto;1183;Petrol;150;43.5;1.5;audi
 Q2;2017;17132;Manual;15268;Petrol;125;52.3;1.4;audi
 A4;2019;26470;Automatic;3215;Petrol;145;38.7;2.0;audi
 Q2;2019;23000;Automatic;10000;Petrol;145;40.9;1.5;audi
 A5;2019;28995;Semi-Auto;3000;Petrol;145;40.4;2.0;audi
 A3;2019;17420;Manual;8624;Petrol;145;48.7;1.0;audi
 A1;2014;13995;Semi-Auto;15300;Petrol;125;53.3;1.4;audi
 Q5;2019;35990;Semi-Auto;9805;Diesel;145;38.2;2.0;audi
 A4;2013;6000;Manual;129680;Diesel;30;64.2;2.0;audi
 Q2;2017;15995;Semi-Auto;54305;Petrol;30;54.3;1.4;audi
 A6;2017;20875;Semi-Auto;33000;Diesel;150;61.4;2.0;audi
 A1;2017;10972;Manual;43521;Petrol;30;57.6;1.4;audi
 Q3;2016;18950;Semi-Auto;39475;Diesel;160;50.4;2.0;audi
 Q3;2019;28500;Manual;5500;Diesel;145;42.8;2.0;audi
 A4;2016;13110;Semi-Auto;51124;Diesel;0;72.4;2.0;audi
 Q2;2017;18500;Semi-Auto;11920;Petrol;150;54.3;1.4;audi
 TT;2017;16995;Manual;35000;Diesel;145;62.8;2.0;audi
 Q5;2019;36991;Automatic;10;Diesel;145;38.2;2.0;audi
 A1;2014;10795;Manual;27427;Diesel;20;68.9;2.0;audi
 A4;2019;27000;Manual;5000;Petrol;145;38.7;2.0;audi
 A3;2019;21586;Automatic;14670;Petrol;145;42.2;1.5;audi
 A3;2015;16245;Semi-Auto;20396;Petrol;150;48.7;1.8;audi
 Q3;2015;13291;Manual;60820;Diesel;165;49.6;2.0;audi
 A5;2020;32990;Semi-Auto;1884;Diesel;145;50.4;2.0;audi
 Q3;2016;19990;Semi-Auto;29241;Petrol;200;42.2;2.0;audi
 A6;2014;11500;Manual;75550;Diesel;30;62.8;2.0;audi
 A4;2017;18995;Manual;27394;Diesel;30;64.2;2.0;audi
 A5;2019;28991;Automatic;10;Petrol;145;40.4;2.0;audi
 A3;2017;18998;Manual;14264;Petrol;145;54.3;1.5;audi
 Q5;2019;38000;Semi-Auto;5700;Diesel;145;38.2;2.0;audi
 A1;2016;11760;Manual;27400;Petrol;30;55.4;1.4;audi
 Q3;2019;34995;Semi-Auto;4000;Petrol;145;31.7;2.0;audi
 Q2;2017;12745;Manual;87000;Diesel;30;64.2;1.6;audi
 A4;2017;17992;Manual;21180;Diesel;145;74.3;2.0;audi
 A4;2016;19999;Semi-Auto;37450;Diesel;125;58.9;3.0;audi
 A1;2018;14990;Manual;10436;Petrol;150;55.4;1.4;audi
 A3;2019;23788;Semi-Auto;14721;Petrol;145;41.5;1.5;audi
 A3;2019;21750;Manual;5000;Petrol;145;46.3;1.0;audi
 A6;2019;29900;Semi-Auto;2956;Diesel;145;50.4;2.0;audi
 A6;2018;23100;Automatic;36220;Diesel;145;54.3;2.0;audi
 A5;2017;23421;Semi-Auto;25207;Diesel;145;70.6;2.0;audi
 TT;2017;27000;Automatic;27607;Petrol;200;40.9;0.0;audi
 A3;2019;24000;Manual;100;Diesel;145;52.3;1.6;audi
 Q5;2019;34991;Semi-Auto;6836;Diesel;145;38.2;2.0;audi
 Q5;2019;42450;Semi-Auto;8867;Diesel;145;36.2;2.0;audi
 A4;2019;23900;Automatic;4418;Diesel;145;48.7;2.0;audi
 Q3;2020;31990;Semi-Auto;2166;Diesel;145;47.1;2.0;audi
 A3;2017;14990;Manual;24964;Petrol;20;60.1;1.4;audi
 A4;2018;20950;Manual;14544;Petrol;150;48.7;1.4;audi
 A1;2015;9580;Manual;44141;Petrol;30;57.6;1.4;audi
 Q5;2016;26990;Semi-Auto;46401;Diesel;235;42.8;3.0;audi
 A4;2015;14850;Manual;20434;Petrol;145;49.6;1.8;audi
 A5;2019;28450;Automatic;6621;Diesel;145;47.1;2.0;audi
 A4;2014;11950;Manual;60604;Diesel;20;67.3;2.0;audi
 Q2;2018;16795;Manual;24021;Petrol;145;52.3;1.4;audi
 A6;2019;31985;Semi-Auto;3278;Diesel;145;47.9;2.0;audi
 A3;2016;24990;Semi-Auto;31128;Petrol;165;43.5;2.0;audi
 A1;2016;12500;Semi-Auto;38207;Petrol;30;56.5;1.4;audi
 Q5;2020;37444;Semi-Auto;1500;Diesel;145;38.2;2.0;audi
 Q5;2019;35490;Semi-Auto;6255;Petrol;145;32.1;2.0;audi
 A3;2013;11500;Automatic;51441;Petrol;125;50.4;1.8;audi
 TT;2017;16465;Manual;41699;Petrol;150;47.1;1.8;audi
 RS3;2020;41990;Automatic;415;Petrol;145;29.7;2.5;audi
 Q2;2019;25491;Automatic;7778;Petrol;145;40.9;1.5;audi
 A3;2015;14500;Manual;39522;Petrol;20;60.1;1.4;audi
 Q3;2019;34922;Semi-Auto;7728;Diesel;145;45.6;2.0;audi
 A6;2018;22000;Automatic;29477;Diesel;145;61.4;2.0;audi
 Q2;2018;19500;Manual;15401;Petrol;145;52.3;1.4;audi
 A3;2019;21888;Manual;5150;Diesel;145;52.3;1.6;audi
